aceX aceY aceZ lati longi altiMed vel pitch roll yaw time
-0.100 -208.180 -0.010 38.724 -9.249 161.40 0 196.062 1.188 36.938 0
-0.130 -6.820 7.960 38.724 -9.249 161.44 0 165.938 3.125 37.000 0
-0.100 -282.710 -0.010 38.724 -9.249 161.46 0 138.938 4.500 -16.000 0
-0.110 -277.570 -0.010 38.724 -9.249 161.46 0 114.375 3.938 -16.000 0
-0.110 -267.290 -0.010 38.724 -9.249 161.33 0 90.500 2.188 -16.000 0
-0.160 -6.540 7.640 38.724 -9.249 161.30 0 64.312 -15.750 -0.062 0
-0.130 -313.550 -0.010 38.724 -9.249 161.33 0 34.188 -15.875 -0.062 0
-0.100 -239.020 -0.010 38.724 -9.249 161.35 0 3.250 -16.000 -0.062 0
0.000 -6.610 7.770 38.724 -9.249 161.32 0 329.062 3.500 -16.000 0
-0.070 -305.840 -0.010 38.724 -9.249 161.40 0 295.062 -14.875 -0.062 0
-0.130 -6.440 7.470 38.724 -9.249 161.40 0 260.000 -15.000 -0.062 0
-0.100 -192.760 -0.010 38.724 -9.249 161.48 0 229.125 0.688 -16.000 0
-0.060 -6.700 7.810 38.724 -9.249 161.40 0 195.812 2.188 36.438 0
-0.110 -280.140 -0.010 38.724 -9.249 161.45 0 164.375 -15.375 -0.062 0
-0.100 -298.130 -0.010 38.724 -9.249 161.39 0 132.938 -15.500 -0.062 0
-0.080 -303.270 -0.010 38.724 -9.249 161.39 0 101.438 3.062 -16.000 0
-0.070 -6.510 7.620 38.724 -9.249 161.44 0 70.000 3.000 32.375 0
-0.060 -282.710 -0.010 38.724 -9.249 161.46 0 37.000 0.438 34.625 0
-0.050 -321.260 -0.010 38.724 -9.249 161.43 0 4.562 0.000 33.688 0
-0.010 -326.400 -0.010 38.724 -9.249 161.34 0 332.625 1.750 36.812 0
-0.050 -6.430 7.480 38.724 -9.249 161.28 0 298.750 -14.875 -0.062 0
-0.110 -6.470 7.460 38.724 -9.249 161.37 0 265.125 -15.000 -0.062 0
-0.130 -262.150 -0.010 38.724 -9.249 161.33 0 232.500 -15.125 -0.062 0
-0.070 -6.490 7.630 38.724 -9.249 161.30 0 197.062 0.438 34.188 0
-0.100 -300.700 -0.010 38.724 -9.249 161.35 0 164.250 0.000 33.312 0
-0.090 -6.470 7.490 38.724 -9.249 161.32 0 130.000 -15.500 -0.062 0
-0.020 -269.860 -0.010 38.724 -9.249 161.28 0 96.625 2.125 -16.000 0
-0.050 -6.510 7.540 38.724 -9.249 161.25 0 65.312 3.750 32.938 0
-0.090 -316.120 -0.010 38.724 -9.249 161.34 0 31.688 1.625 35.625 0
-0.090 -6.500 7.660 38.724 -9.249 161.28 0 357.938 0.312 35.500 0
0.000 -2.560 -0.010 38.724 -9.249 161.19 0 325.312 1.500 36.312 0
-0.020 -6.450 7.580 38.724 -9.249 161.22 0 291.562 -14.875 -0.062 0
-0.200 -6.480 7.470 38.724 -9.249 161.24 0 258.750 -15.000 -0.062 0
-0.260 -321.260 -0.010 38.724 -9.249 161.24 0 221.312 -15.188 -0.062 0
-0.010 -6.450 7.360 38.724 -9.249 161.32 0 179.312 -15.312 -0.062 0
-0.070 -6.560 7.430 38.724 -9.249 161.21 0 138.750 0.250 -16.000 0
0.000 -6.500 7.340 38.724 -9.249 161.14 0 96.500 1.688 -16.000 0
0.040 -2.560 -0.010 38.724 -9.249 161.16 0 57.500 4.312 -16.000 0
0.020 -6.710 7.600 38.724 -9.249 161.20 0 17.875 4.938 35.625 0
0.020 -6.540 7.540 38.724 -9.249 161.13 0 339.125 2.938 36.312 0
0.020 -2.560 -0.010 38.724 -9.249 161.04 0 306.062 0.500 35.812 0
-0.030 -6.440 7.580 38.724 -9.249 161.10 0 274.750 -14.938 -0.062 0
-0.120 -292.990 -0.010 38.724 -9.249 161.04 0 247.438 -15.062 -0.062 0
-0.150 -6.590 7.710 38.724 -9.249 161.01 0 218.375 -15.188 -0.062 0
-0.160 -251.870 -0.010 38.724 -9.249 161.01 0 189.250 -15.312 -0.062 0
-0.120 -264.720 -0.010 38.724 -9.249 161.03 0 160.750 0.188 -16.000 0
-0.120 -6.740 8.000 38.724 -9.249 161.12 0 131.812 0.812 34.312 0
-0.110 -298.130 -0.010 38.724 -9.249 161.20 0 103.812 0.312 32.500 0
-0.120 -305.840 -0.010 38.724 -9.249 161.12 0 75.375 1.562 -16.000 0
-0.140 -292.990 -0.010 38.724 -9.249 161.25 0 48.688 3.875 -16.000 0
-0.120 -6.500 7.620 38.724 -9.249 161.23 0 21.125 2.750 37.562 0
-0.110 -318.690 -0.010 38.724 -9.249 161.22 0 351.812 0.000 39.375 0
-0.090 -241.590 -0.010 38.724 -9.249 161.13 0 324.812 1.125 35.750 0
-0.100 -6.420 7.610 38.724 -9.249 161.10 0 296.688 2.250 39.562 0
-0.210 -292.990 -0.010 38.724 -9.249 161.13 0 268.875 -15.000 -0.062 0
-0.200 -318.690 -0.010 38.724 -9.249 161.01 0 242.312 -15.062 -0.062 0
-0.160 -275.000 -0.010 38.724 -9.249 160.95 0 213.562 -15.188 -0.062 0
-0.150 -6.460 7.610 38.724 -9.249 161.06 0 185.438 -15.312 -0.062 0
-0.170 -321.260 -0.010 38.724 -9.249 161.05 0 157.250 -15.438 -0.062 0
-0.190 -305.840 -0.010 38.724 -9.249 161.14 0 127.062 -15.562 -0.062 0
-0.140 -264.720 -0.010 38.724 -9.249 161.25 0 96.000 1.312 -16.000 0
-0.020 -326.400 -0.010 38.724 -9.249 161.14 0 64.938 3.750 34.000 0
-0.070 -300.700 -0.010 38.724 -9.249 161.05 0 35.500 3.375 36.000 0
-0.010 -300.700 -0.010 38.724 -9.249 161.07 0 6.375 2.938 34.750 0
-0.020 -290.420 -0.010 38.724 -9.249 161.12 0 340.812 3.500 36.688 0
-0.100 -295.560 -0.010 38.724 -9.249 161.21 0 316.625 1.125 39.250 0
-0.160 -318.690 -0.010 38.724 -9.249 161.18 0 293.562 -14.875 -0.062 0
-0.190 -210.750 -0.010 38.724 -9.249 161.15 0 272.250 -14.938 -0.062 0
-0.180 -308.410 -0.010 38.724 -9.249 161.12 0 249.000 -15.062 -0.062 0
-0.220 -303.270 -0.010 38.724 -9.249 161.14 0 226.750 -15.125 -0.062 0
-0.210 -295.560 -0.010 38.724 -9.249 161.14 0 204.250 -15.250 -0.062 0
-0.170 -264.720 -0.010 38.724 -9.249 161.22 0 183.062 -15.312 -0.062 0
-0.160 -308.410 -0.010 38.724 -9.249 161.31 0 161.000 -15.375 -0.062 0
-0.170 -272.430 -0.010 38.724 -9.249 161.28 0 137.812 -15.500 -0.062 0
-0.210 -318.690 -0.010 38.724 -9.249 161.30 0 116.375 -15.562 -0.062 0
-0.210 -267.290 -0.010 38.724 -9.249 161.38 0 94.125 -15.688 -0.062 0
-0.190 -292.990 -0.010 38.724 -9.249 161.35 0 71.125 0.062 32.562 0
-0.190 -292.990 -0.010 38.724 -9.249 161.33 0 49.500 1.062 34.562 0
-0.200 -316.120 -0.010 38.724 -9.249 161.35 0 27.000 -15.938 -0.062 0
-0.180 -275.000 -0.010 38.724 -9.249 161.37 0 4.500 -16.000 -0.062 0
-0.200 -282.710 -0.010 38.724 -9.249 161.37 0 341.750 -14.688 -0.062 0
-0.190 -303.270 -0.010 38.724 -9.249 161.40 0 319.438 0.125 35.625 0
-0.180 -303.270 -0.010 38.724 -9.249 161.43 0 295.438 -14.875 -0.062 0
-0.190 -298.130 -0.010 38.724 -9.249 161.45 0 271.062 -15.000 -0.062 0
-0.190 -282.710 -0.010 38.724 -9.249 161.37 0 246.750 -15.062 -0.062 0
-0.170 -313.550 -0.010 38.724 -9.249 161.39 0 222.500 0.312 34.938 0
-0.200 -6.460 7.710 38.724 -9.249 161.53 0 198.438 0.000 35.562 0
-0.230 -305.840 -0.010 38.724 -9.249 161.50 0 175.250 -15.375 -0.062 0
-0.220 -292.990 -0.010 38.724 -9.249 161.47 0 150.875 -15.438 -0.062 0
-0.220 -321.260 -0.010 38.724 -9.249 161.40 0 125.562 -15.562 -0.062 0
-0.230 -323.830 -0.010 38.724 -9.249 161.38 0 98.688 -15.625 -0.062 0
-0.150 -300.700 -0.010 38.724 -9.249 161.40 0 70.625 -15.750 -0.062 0
-0.170 -6.410 7.630 38.724 -9.249 161.43 0 42.875 0.312 36.000 0
-0.170 -290.420 -0.010 38.724 -9.249 161.45 0 16.812 0.688 35.688 0
-0.150 -292.990 -0.010 38.724 -9.249 161.57 0 350.438 0.000 35.062 0
-0.170 -221.030 -0.010 38.724 -9.249 161.51 0 324.438 -14.750 -0.062 0
-0.210 -6.680 7.830 38.724 -9.249 161.59 0 297.875 -14.875 -0.062 0
-0.120 -269.860 -0.010 38.724 -9.249 161.62 0 270.812 -15.000 -0.062 0
-0.080 -300.700 -0.010 38.724 -9.249 161.64 0 243.000 4.812 -16.000 0
-0.220 -6.700 7.510 38.724 -9.249 161.56 0 213.062 4.375 48.625 0
-0.260 -241.590 -0.010 38.724 -9.249 161.58 0 185.375 1.938 35.375 0
-0.250 -326.400 -0.010 38.724 -9.249 161.69 0 163.438 3.375 -16.000 0
-0.190 -254.440 -0.010 38.724 -9.249 161.57 0 140.250 4.500 -16.000 0
-0.240 -6.540 7.760 38.724 -9.249 161.57 0 117.750 -15.562 -0.062 0
-0.320 -6.630 7.710 38.724 -9.249 161.54 0 94.500 -9.938 37.375 0
-0.230 -292.990 -0.010 38.724 -9.249 161.51 0 67.938 -9.750 34.125 0
-0.130 -6.570 7.710 38.724 -9.249 161.51 0 38.000 -15.875 -0.062 0
-0.130 -259.580 -0.010 38.724 -9.249 161.48 0 5.562 -16.000 -0.062 0
-0.180 -6.560 7.450 38.724 -9.249 161.56 0 333.000 -14.750 -0.062 0
-0.190 -290.420 -0.010 38.724 -9.249 161.56 0 300.562 3.250 34.125 0
-0.120 -6.600 7.910 38.724 -9.249 161.53 0 272.688 -14.938 -0.062 0
-0.060 -264.720 -0.010 38.724 -9.249 161.52 0 245.500 -15.062 -0.062 0
-0.170 -6.710 7.930 38.724 -9.249 161.49 0 221.688 3.125 36.938 0
-0.230 -231.310 -0.010 38.724 -9.249 161.49 0 200.625 -15.250 -0.062 0
-0.240 -313.550 -0.010 38.724 -9.249 161.52 0 181.312 -15.312 -0.062 0
-0.190 -254.440 -0.010 38.724 -9.249 161.49 0 159.812 -15.438 -0.062 0
-0.200 -6.730 7.940 38.724 -9.249 161.54 0 136.812 -15.500 -0.062 0
-0.230 -300.700 -0.010 38.724 -9.249 161.57 0 111.188 -15.625 -0.062 0
-0.250 -300.700 -0.010 38.724 -9.249 161.59 0 86.125 -15.688 -0.062 0
-0.210 -321.260 -0.010 38.724 -9.249 161.59 0 61.062 -15.812 -0.062 0
-0.220 -280.140 -0.010 38.724 -9.249 161.57 0 38.062 3.250 32.250 0
-0.220 -6.720 7.920 38.724 -9.249 161.47 0 15.125 0.312 35.125 0
-0.270 -246.730 -0.010 38.724 -9.249 161.44 0 354.438 -14.625 -0.062 0
-0.220 -259.580 -0.010 38.724 -9.249 161.58 0 332.875 -14.750 -0.062 0
-0.180 -259.580 -0.010 38.724 -9.249 161.64 0 310.375 -14.812 -0.062 0
-0.200 -6.660 7.790 38.724 -9.249 161.72 0 286.688 -14.938 -0.062 0
-0.230 -292.990 -0.010 38.724 -9.249 161.57 0 262.312 -15.000 -0.062 0
-0.230 -6.450 7.630 38.724 -9.249 161.55 0 237.500 -15.125 -0.062 0
-0.190 -290.420 -0.010 38.724 -9.249 161.55 0 212.188 0.000 34.062 0
-0.170 -6.500 7.760 38.724 -9.249 161.49 0 190.812 2.375 36.875 0
-0.190 -303.270 -0.010 38.724 -9.249 161.54 0 169.500 0.875 35.250 0
-0.240 -246.730 -0.010 38.724 -9.249 161.62 0 152.062 -15.438 -0.062 0
-0.280 -6.610 7.870 38.724 -9.249 161.65 0 134.688 -15.500 -0.062 0
-0.230 -254.440 -0.010 38.724 -9.249 161.62 0 119.125 -15.562 -0.062 0
-0.290 -6.430 7.570 38.724 -9.249 161.59 0 102.312 -15.625 -0.062 0
-0.290 -236.450 -0.010 38.724 -9.249 161.70 0 86.188 -15.688 -0.062 0
-0.290 -6.740 7.860 38.724 -9.249 161.70 0 66.250 -15.750 -0.062 0
-0.290 -174.770 -0.010 38.724 -9.249 161.69 0 47.312 -15.875 -0.062 0
-0.300 -208.180 -0.010 38.724 -9.249 161.77 0 28.750 -15.938 -0.062 0
-0.240 -298.130 -0.010 38.724 -9.249 161.75 0 9.062 1.812 37.375 0
-0.250 -6.640 7.960 38.724 -9.249 161.69 0 351.312 -14.688 -0.062 0
-0.290 -6.660 7.930 38.724 -9.249 161.72 0 332.938 -14.750 -0.062 0
-0.250 -197.900 -0.010 38.724 -9.249 161.65 0 316.562 -14.812 -0.062 0
-0.250 -6.960 8.370 38.724 -9.249 161.62 0 298.125 0.000 37.250 0
-0.010 -164.490 -0.010 38.724 -9.249 161.68 0 281.062 -14.938 -0.062 0
0.080 -6.630 7.740 38.724 -9.249 161.65 0 270.438 -15.000 -0.062 0
-0.090 -200.470 -0.010 38.724 -9.249 161.65 0 270.562 -15.000 -0.062 0
-0.270 -6.540 7.740 38.724 -9.249 161.65 0 277.062 -14.938 -0.062 0
-0.280 -5.720 7.010 38.724 -9.249 161.62 0 288.625 -14.875 -0.062 0
-0.230 -6.870 8.240 38.724 -9.249 161.68 0 302.438 0.062 -16.000 0
-0.240 -6.490 7.450 38.724 -9.249 161.93 0 330.375 0.500 -16.000 0
-0.290 -6.750 7.530 38.724 -9.249 162.16 0 15.188 2.688 36.750 0
-0.090 17.990 -0.010 38.724 -9.249 162.29 0 68.750 -15.750 -0.062 0
1.510 -9.440 6.850 38.724 -9.249 162.41 0 145.312 -15.438 -0.062 0
0.650 123.360 -0.010 38.724 -9.249 162.38 0 255.812 -8.250 30.062 0
2.090 -2.560 -0.010 38.724 -9.249 162.60 0 21.625 5.188 37.562 0
0.360 131.070 -0.010 38.724 -9.249 162.74 0 163.938 -15.375 -0.062 0
1.240 -2.560 -0.010 38.724 -9.249 162.71 0 309.312 -14.812 -0.062 0
2.140 10.280 -0.010 38.724 -9.249 162.40 0 80.438 -15.688 -0.062 0
0.300 -11.560 2.540 38.724 -9.249 162.46 0 232.438 -15.125 -0.062 0
1.260 -2.560 -0.010 38.724 -9.249 162.59 0 358.375 -14.625 -0.062 0
0.630 -2.560 -0.010 38.724 -9.249 162.57 0 169.812 -15.375 -0.062 0
1.950 77.100 -0.010 38.724 -9.249 162.59 0 300.750 -14.875 -0.062 0
0.780 -2.560 -0.010 38.724 -9.249 162.45 0 112.125 -15.562 -0.062 0
1.990 -2.560 -0.010 38.724 -9.249 162.41 0 251.375 -15.062 -0.062 0
1.650 161.910 -0.010 38.724 -9.249 162.76 0 67.188 0.875 5.688 0
1.500 -2.560 -0.010 38.724 -9.249 162.84 0 231.188 -9.625 31.500 0
5.630 71.960 -0.010 38.724 -9.249 163.10 0 64.312 -15.750 -0.062 0
0.810 -2.560 -0.010 38.724 -9.249 162.93 0 252.438 -15.062 -0.062 0
4.450 -22.070 3.420 38.724 -9.249 162.98 0 82.500 -15.688 -0.062 0
0.850 -2.560 -0.010 38.724 -9.249 162.84 0 266.438 -15.000 -0.062 0
4.060 -2.550 -0.010 38.724 -9.249 162.92 0 100.625 2.062 18.938 0
1.650 -2.560 -0.010 38.724 -9.249 162.83 0 277.812 1.562 -16.000 0
4.370 -19.740 5.330 38.724 -9.249 162.69 0 102.312 -15.625 -0.062 0
1.490 -14.330 5.410 38.724 -9.249 162.60 0 263.625 6.500 17.938 0
2.610 -16.880 5.100 38.724 -9.249 162.52 0 77.438 -15.750 -0.062 0
0.490 -2.560 -0.010 38.724 -9.249 162.54 0 210.625 -15.188 -0.062 0
2.830 -2.550 -0.010 38.724 -9.249 162.45 0 1.000 6.875 -16.000 0
1.310 -2.560 -0.010 38.724 -9.249 162.31 0 121.625 -15.562 -0.062 0
0.880 -2.560 -0.010 38.724 -9.249 162.42 0 259.562 -15.000 -0.062 0
1.340 43.690 -0.010 38.724 -9.249 162.18 0 2.750 16.062 -15.938 0
-0.450 79.670 -0.010 38.724 -9.249 162.13 0 124.688 706.750 -0.062 0
0.590 -2.560 -0.010 38.724 -9.249 162.16 0 216.375 -15.188 -0.062 0
0.910 -2.560 -0.010 38.724 -9.249 162.30 0 330.000 1.062 34.875 0
0.920 -2.560 -0.010 38.724 -9.249 162.30 0 50.125 16.375 -15.938 0
0.540 53.970 -0.010 38.724 -9.249 162.29 0 154.750 -15.438 -0.062 0
0.390 123.360 -0.010 38.724 -9.249 162.23 0 232.875 -8.062 28.250 0
0.970 -9.020 6.170 38.724 -9.249 162.55 0 324.500 1.938 -16.000 0
1.350 56.540 -0.010 38.724 -9.249 162.57 0 60.812 -15.812 -0.062 0
-6.640 115.650 -0.010 38.724 -9.249 162.48 0 146.312 -15.438 -0.062 0
-0.310 92.520 -0.010 38.724 -9.249 162.37 0 182.250 -15.312 -0.062 0
0.200 -6.510 7.530 38.724 -9.249 162.34 0 187.812 -15.312 -0.062 0
-0.330 -5.530 7.490 38.724 -9.249 162.48 0 190.500 -15.312 -0.062 0
1.440 -2.560 -0.010 38.724 -9.249 162.74 0 188.562 -15.312 -0.062 0
1.110 -2.560 -0.010 38.724 -9.249 162.91 0 189.500 -15.312 -0.062 0
-0.570 123.360 -0.010 38.724 -9.249 163.37 0 190.125 -9.750 23.375 0
-218.460 -0.010 -0.010 38.724 -9.249 163.22 0 183.312 -9.500 30.125 0
-0.210 -5.150 8.700 38.724 -9.249 162.99 0 174.562 1011.938 -0.062 0
-0.480 12.850 -0.010 38.724 -9.249 163.24 0 172.000 995.875 -0.062 0
-1.730 -6.910 7.900 38.724 -9.249 163.09 0 177.375 883.438 -0.062 0
-1.470 -6.960 6.680 38.724 -9.249 163.32 0 197.750 497.938 -0.062 0
0.700 -2.560 -0.010 38.724 -9.249 163.70 0 231.125 -8.062 54.250 0
1.660 -2.560 -0.010 38.724 -9.249 164.09 0 292.500 3.312 -16.000 0
1.710 -11.590 5.870 38.724 -9.249 163.93 0 45.562 -15.875 -0.062 0
1.090 -2.560 -0.010 38.724 -9.249 163.90 0 170.938 -15.375 -0.062 0
0.980 -14.420 4.660 38.724 -9.249 163.93 0 335.250 -14.750 -0.062 0
1.150 -16.870 4.870 38.724 -9.249 163.59 0 130.062 -8.250 18.875 0
0.450 -2.560 -0.010 38.724 -9.249 163.70 0 296.500 1.750 -16.000 0
3.880 -2.550 -0.010 38.724 -9.249 163.35 0 103.750 -15.625 -0.062 0
4.200 123.360 -0.010 38.724 -9.249 163.56 0 278.250 22.125 -15.938 0
5.340 2.570 -0.010 38.724 -9.249 163.52 0 108.625 -15.625 -0.062 0
0.900 151.630 -0.010 38.724 -9.249 163.26 0 304.688 -14.812 -0.062 0
4.940 -2.550 -0.010 38.724 -9.249 162.90 0 99.250 -15.625 -0.062 0
1.450 107.940 -0.010 38.724 -9.249 163.03 0 247.125 18.500 36.875 0
2.140 -14.200 1.410 38.724 -9.249 163.72 0 60.875 562.188 -0.062 0
4.420 -2.550 -0.010 38.724 -9.249 163.69 0 224.188 -15.125 -0.062 0
1.430 -2.560 -0.010 38.724 -9.249 163.55 0 25.312 -15.938 -0.062 0
0.660 -2.560 -0.010 38.724 -9.249 163.32 0 192.125 -15.250 -0.062 0
2.600 -2.550 -0.010 38.724 -9.249 163.31 0 340.250 -14.688 -0.062 0
1.010 -2.560 -0.010 38.724 -9.249 163.37 0 128.812 449.750 -0.062 0
6.820 -2.540 -0.010 38.724 -9.249 163.45 0 294.250 17.062 22.500 0
0.130 -2.560 -0.010 38.724 -9.249 163.47 0 86.000 -15.688 -0.062 0
1.190 138.780 -0.010 38.724 -9.249 163.07 0 250.125 754.938 -0.062 0
1.550 -2.560 -0.010 38.724 -9.249 162.71 0 34.625 16.875 37.125 0
0.850 -2.560 -0.010 38.724 -9.249 162.68 0 184.125 -15.312 -0.062 0
6.980 -2.540 -0.010 38.724 -9.249 162.82 0 316.375 18.188 -15.938 0
0.440 123.360 -0.010 38.724 -9.249 163.42 0 108.125 144.562 -0.062 0
8.410 -2.530 -0.010 38.724 -9.249 163.42 0 271.562 34.312 -15.875 0
2.930 -2.550 -0.010 38.724 -9.249 163.80 0 46.312 37.875 39.562 0
5.270 77.100 -0.010 38.724 -9.249 163.28 0 183.438 -40.625 19.625 0
4.140 -2.550 -0.010 38.724 -9.249 162.99 0 259.125 23.062 32.938 0
1.790 -14.290 4.320 38.724 -9.249 163.30 0 358.000 -14.625 -0.062 0
-0.410 -10.790 8.890 38.724 -9.249 163.73 0 59.062 18.688 32.375 0
2.900 -2.550 -0.010 38.724 -9.249 163.58 0 158.375 -15.438 -0.062 0
-0.590 51.400 -0.010 38.724 -9.249 163.87 0 211.375 6.000 -16.000 0
1.940 -2.560 -0.010 38.724 -9.249 163.64 0 355.375 -14.625 -0.062 0
0.330 -2.560 -0.010 38.724 -9.249 163.44 0 100.125 819.188 -0.062 0
6.760 -16.680 9.750 38.724 -9.249 163.30 0 228.250 0.812 -16.000 0
1.010 0.000 -0.010 38.724 -9.249 163.90 0 333.375 -14.750 -0.062 0
0.900 -2.560 -0.010 38.724 -9.249 163.56 0 129.250 -15.500 -0.062 0
1.320 -17.080 9.800 38.724 -9.249 163.69 0 214.938 -15.188 -0.062 0
0.000 -9.240 -0.410 38.724 -9.249 163.35 0 12.938 -11.938 5.688 0
-223.600 -0.010 -0.010 38.724 -9.249 163.46 0 105.625 1.625 34.875 0
2.010 -2.560 -0.010 38.724 -9.249 163.87 0 247.312 -15.062 -0.062 0
3.320 -12.130 6.680 38.724 -9.249 164.04 0 12.062 -16.000 -0.062 0
0.760 -6.580 5.210 38.724 -9.249 164.07 0 130.188 -15.500 -0.062 0
6.220 -2.540 -0.010 38.724 -9.249 163.90 0 249.062 -11.938 61.500 0
-0.020 43.690 -0.010 38.724 -9.249 164.15 0 27.188 7.375 3.062 0
8.060 -2.530 -0.010 38.724 -9.249 164.04 0 173.188 -15.375 -0.062 0
1.480 -2.560 -0.010 38.724 -9.249 164.01 0 314.625 -14.812 -0.062 0
1.460 151.630 -0.010 38.724 -9.249 163.86 0 106.000 -15.625 -0.062 0
1.910 -2.560 -0.010 38.724 -9.249 164.00 0 261.812 -15.000 -0.062 0
0.210 149.060 -0.010 38.724 -9.249 164.18 0 65.062 6.062 -16.000 0
3.380 149.060 -0.010 38.724 -9.249 164.00 0 218.188 -15.188 -0.062 0
-0.270 -310.980 -0.010 38.724 -9.249 163.95 0 11.312 -16.000 -0.062 0
2.750 123.360 -0.010 38.724 -9.249 163.95 0 165.812 -8.062 28.938 0
0.530 133.640 -0.010 38.724 -9.249 163.83 0 315.188 -14.812 -0.062 0
2.620 -11.980 4.990 38.724 -9.249 163.61 0 100.375 -15.625 -0.062 0
1.140 -2.560 -0.010 38.724 -9.249 163.57 0 204.812 -15.250 -0.062 0
0.470 -11.640 6.020 38.724 -9.249 163.34 0 351.062 0.062 -16.000 0
-251.870 -0.010 -0.010 38.724 -9.249 163.28 0 94.938 0.250 19.125 0
0.150 74.530 -0.010 38.724 -9.249 163.40 0 196.938 -15.250 -0.062 0
